english,spanish,english_length,spanish_length
are you sleepy yet ?,¿ ya tienes sueño ?,5,5
i can t believe you called tom fat .,no puedo creer que le dijiste gordo a tom .,9,10
drink your wine .,bébase el vino .,4,4
i think there s no point in trying to convince him .,yo pienso que no sirve de nada intentar convencerle .,12,10
the teacher made me repeat the sentence .,el profesor me hizo repetir la oración .,8,8
it s under the chair .,está debajo de la silla .,6,6
they only sell women s shoes here .,aquí solo venden zapatos de mujer .,8,7
tom lit the fire .,tom prendió el fuego .,5,5
you re very astute .,eres muy astuta .,5,4
he gave money to each of his sons .,él le dio dinero a cada uno de sus hijos .,9,11
someone entered the room .,alguien entró en la habitación .,5,6
i want to go to the movies today .,quiero ir al cine hoy .,9,6
i quickened my steps to catch up with her .,yo apresuré el paso para poder seguirla .,10,8
think about it .,piénselo .,4,2
does anybody know about this ?,¿ alguien sabe de esto ?,6,6
do you think this is interesting ?,¿ te parece interesante ?,7,5
tom is a good musician .,tom es un buen músico .,6,6
they re sunbathing around the pool .,ellas están tomando sol alrededor de la piscina .,7,9
how much longer will it take for the tub to fill ?,¿ cuánto tiempo tomará en llenarse la bañera ?,12,9
don t you feel hungry ?,¿ no tienes hambre ?,6,5
tom couldn t help us .,tom no pudo ayudarnos .,6,5
you made the same mistake .,usted cometió el mismo error .,6,6
i m looking for a native speaker who could help me correct this essay .,estoy buscando a un hablante nativo que me pueda ayudar a corregir este ensayo .,15,15
my uncle lives next to the school .,mi tío vive cerca de la escuela .,8,8
tom went off on a tangent .,tom se salió por la tangente .,7,7
mary is a bookworm .,mary es un ratón de biblioteca .,5,7
this used to belong to you .,esto era tuyo .,7,4
does he play the piano ?,¿ toca él el piano ?,6,6
the earth is like a ball with a big magnet in it .,la tierra es una especie de bola con un gran imán en el interior .,13,15
can somebody get that ?,¿ alguien puede contestar ?,5,5
tom filled in the blanks .,tom llenó los espacios .,6,5
my mother is making my father a cake .,mi madre le está haciendo un pastel a mi padre .,9,11
tom and mary were talking to each other .,tom y mary estuvieron conversando .,9,6
"after the hurricane , their house was a wreck .",su casa estaba arruinada después del huracán .,10,8
we re to meet at noon .,tenemos que vernos a mediodía .,7,6
the man committed murder .,el hombre cometió un asesinato .,5,6
i have a son who s just turned three .,tengo un hijo que acaba de cumplir tres años .,10,10
we must go to school .,tenemos que ir al colegio .,6,6
i won t leave this house voluntarily .,no dejaré esta casa voluntariamente .,8,6
he began to be a problem .,él comenzó a ser un problema .,7,7
he encouraged his son to study harder .,él animó a su hijo a estudiar más .,8,9
i am proud to be a part of this project .,estoy orgulloso de formar parte de este proyecto .,11,9
don t eat at your desk .,no coman en el pupitre .,7,6
i m not going to kiss you if you don t want me to .,no te voy a besar si no quieres .,15,9
"weigh it for me , please .","pesádmelo , por favor .",7,5
i only used it once .,solo la usé una vez .,6,6
tom bet 300 on the fight .,tom apostó 300 en la pelea .,7,7
this is a horse .,esto es un caballo .,5,5
tom asked mary if she needed some help .,tom le preguntó a mary si necesitaba un poco de ayuda .,9,12
he has gained a few pounds .,ha cogido unos cuantos quilos .,7,6
i ll send you a message .,les mando un mensaje .,7,5
he won the election by a large majority .,él ganó la elección por una gran mayoría .,9,9
i pretended that i didn t know what was going on .,hice como si no supiera lo que estaba pasando .,12,10
i don t know what you want .,no sé lo que quieres .,8,6
i woke up early yesterday .,me desperté temprano ayer .,6,5
it s a surprise .,es una sorpresa .,5,4
do you know anyone who was on that ship that sunk ?,¿ conoces a alguien que haya estado en el barco que se hundió ?,12,14
i wish you d stop making fun of me .,me gustaría que dejarais de burlaros de mí .,10,9
i had an interesting day today .,hoy he tenido un día interesante .,7,7
we re humans .,nosotros somos humanos .,4,4
what are my choices ?,¿ cuáles son mis elecciones ?,5,6
we decided to stay inside because it was raining .,decidimos quedarnos dentro porque estaba lloviendo .,10,7
i haven t read any of his novels .,no he leído ninguna de sus novelas .,9,8
i would like to tell you something .,me gustaría contarte algo .,8,5
you should learn to be patient .,deberías aprender a ser paciente .,7,6
you seem busy .,pareces ocupada .,4,3
i m tired of boston .,estoy cansado de boston .,6,5
his theory is based on fact .,su teoría se basa en los hechos .,7,8
tom is a rude person .,tom es una persona maleducada .,6,6
i don t feel like talking about it .,no me apetece hablar de ello .,9,7
who else have you asked ?,¿ a quién más has preguntado ?,6,7
a good idea occurred to me at that time .,en ese momento se me ocurrió una buena idea .,10,10
he was condemned to death .,él fue condenado a muerte .,6,6
poke the fire . it s going out .,atice usted el fuego que se apaga .,9,8
tom has missed work way too many times .,tom ha faltado al trabajo demasiadas veces .,9,8
the field is full of wild flowers .,el campo está lleno de flores silvestres .,8,8
we are baking in the kitchen .,estamos horneando en la cocina .,7,6
he did the crossword with ease .,él resolvió el crucigrama con facilidad .,7,7
"you re efficient , aren t you ?","tú eres eficiente , ¿ no es así ?",8,9
please don t argue with tom .,haga el favor de no discutir con tom .,7,9
how do you say that in italian ?,¿ cómo se dice eso en italiano ?,8,8
i m not going to go there .,no voy a ir allí .,8,6
tom fought .,tom luchó .,3,3
"finally , i found a job .",finalmente encontré un trabajo .,7,5
"i can t see tom , but i can see you .",no puedo ver a tom pero a ti sí .,12,10
may i remind you of your promise ?,¿ puedo recordarte tu promesa ?,8,6
i m busy now and can t play with you .,"ahora estoy ocupado , no puedo jugar contigo .",11,9
"now you ve come of age , you have the right to vote .","ahora que ya tenéis edad , tenéis derecho a votar .",14,11
tom doesn t think he s as creative as mary .,tom no cree que sea tan creativo como mary .,11,10
don t blame them for what happened back in boston .,no les culpes de lo que sucedió en boston .,11,10
what would you like him to do ?,¿ qué querías que hiciera ?,8,6
i have many friends who are native speakers .,tengo muchos amigos que son hablantes nativos .,9,8
i can t remember how to go there .,no me puedo acordar de cómo ir ahí .,9,9
this fact proves his innocence .,este hecho demuestra su inocencia .,6,6
nothing will happen to you as long as you re with me .,nada te pasará mientras estés conmigo .,13,7
what kind of girl are you ?,¿ qué tipo de chica es usted ?,7,8
tom made his servants eat in the dark .,tom hizo que sus sirvientes comieran a oscuras .,9,9
i d really like to help .,de verdad me gustaría ayudar .,7,6
i want to use these .,quiero usar estos .,6,4
he was buried in this graveyard .,él fue sepultado en este cementerio .,7,7
will i see tom later ?,¿ veré a tom después ?,6,6
don t look a gift horse in the mouth .,a caballo regalado no le mires el diente .,10,9
the lake is a long way from here .,el lago está lejos de aquí .,9,7
hang on a sec .,espera un segundo .,5,4
divide this in half .,parta usted esto por la mitad .,5,7
you are wanted on the phone .,te llaman por teléfono .,7,5
science does not solve all the problems of life .,la ciencia no resuelve todos los problemas de la vida .,10,11
this sentence can be translated in several ways .,esta oración se puede traducir de diferentes maneras .,9,9
i d rather die than do that .,prefiero morir a hacer eso .,8,6
"mention mexico , and tacos come to mind .","si mencionan méxico , los tacos se me vienen a la mente .",9,13
you worry too much about your weight .,te preocupás demasiado por tu peso .,8,7
tom seldom speaks to me anymore .,tom ya apenas me habla .,7,6
i was very happy .,estaba muy feliz .,5,4
we can t find a good sewing machine anywhere .,no podemos encontrar una buena máquina de coser en ningún lado .,10,12
go get it .,id a por ello .,4,5
i need to press the button .,necesito pulsar el botón .,7,5
whose mind is the hardest to change ?,¿ de quién es la mente más difícil de cambiar ?,8,11
tom and mary don t want to talk to john .,tom y mary no quieren hablar con john .,11,9
i m a big kid .,soy un niño grande .,6,5
tom talked me into going to church with him .,tom me convenció de ir a la iglesia con él .,10,11
have you had any serious illnesses ?,¿ ha padecido alguna enfermedad grave ?,7,7
you re making it worse .,lo estás empeorando .,6,4
"just as he was getting the hang of things , he got fired .","justo cuando él había empezado a agarrarle el hilo , fue despedido .",14,13
do you like to eat fruit ?,¿ te gusta comer fruta ?,7,6
i want a bottle of coca cola .,quiero una botella de coca cola .,8,7
no one else was injured .,nadie más salió herido .,6,5
why are you so tired today ?,¿ por qué está tan cansado hoy ?,7,8
developing political awareness takes time .,el desarrollo de la conciencia política requiere tiempo .,6,9
i have no proof of that .,no tengo ninguna prueba de ello .,7,7
she was quite nervous about her first flight .,ella estaba muy nerviosa por su primer vuelo .,9,9
it was nothing but a joke .,no era más que una broma .,7,7
the house is not in very good condition .,la casa no está en muy buenas condiciones .,9,9
i ve got a cold .,estoy resfriado .,6,3
lock the door !,¡ ponle llave a la puerta !,4,7
i ve never been to my uncle s house .,nunca he estado en la casa de mi tío .,10,10
i don t know if it ll rain tomorrow .,no sé si mañana lloverá .,10,6
"although my car is very old , it still runs very well .","a pesar de ser muy viejo , mi coche todavía va muy bien .",13,14
i was injured while i was skiing .,me lesioné mientras esquiaba .,8,5
let s shake hands .,démonos la mano .,5,4
do you get heartburn after eating certain foods ?,¿ tienes acidez de estómago después de comer ciertos alimentos ?,9,11
you re a good journalist .,vos sos un buen periodista .,6,6
the room was kept warm for the guests .,la habitación se mantuvo cálida para los huéspedes .,9,9
she deliberately ignored me on the street .,ella deliberadamente me ignoró por la calle .,8,8
i walk in the forest every day .,todos los días camino por el bosque .,8,8
i have a little something for you .,tengo una cosita para ti .,8,6
she is writing a letter now .,ahora está escribiendo una carta .,7,6
it was very small .,era muy pequeño .,5,4
tom has given a lot of money to charity .,tom ha dado un montón de dinero a la caridad .,10,11
everybody feels comfortable with him .,todos se sienten a gusto con él .,6,8
tom had a happy childhood .,tom tuvo una infancia feliz .,6,6
i don t want you to work there .,no quiero que ustedes trabajen allí .,9,7
i couldn t go back to my house .,no podía volver a mi casa .,9,7
they dream of the day when they ll be rolling in money .,ellos sueñan con el día en que estén nadando en dinero .,13,12
we have a great school library .,tenemos una excelente biblioteca escolar .,7,6
tom thinks you ll enjoy this .,tom piensa que tú disfrutarás esto .,7,7
do you still have my key ?,¿ todavía tienen ustedes mi llave ?,7,7
will you show me how to use this camera ?,¿ puedes mostrarme cómo se ocupa esta cámara ?,10,9
let s find out what s inside .,veamos lo que hay dentro .,8,6
there s no sense in doing that .,no tiene sentido hacer eso .,8,6
it took me nearly two hours to write the essay .,me tomó alrededor de dos horas escribir el ensayo .,11,10
tom doesn t have time .,tom no tiene tiempo .,6,5
this hotel belongs to my brother in law .,este hotel es de mi cuñado .,9,7
would you like to dance with me ?,¿ bailas conmigo ?,8,4
you re always complaining .,siempre estás quejándote .,5,4
tom had a chance to meet mary in boston .,tom tuvo la oportunidad de encontrarse con mary en boston .,10,11
he found his missing brother at last .,al fin encontró a su hermano desaparecido .,8,8
do you remember your promise to me ?,¿ recuerdan ustedes lo que me prometieron ?,8,8
does tom usually write to you in french ?,¿ tom te escribe habitualmente en francés ?,9,8
i made my decision .,tomé mi decisión .,5,4
there s a bit of milk left .,queda un poco de leche .,8,6
he said that he was going home the following day .,él dijo que se iba a casa al día siguiente .,11,11
we have to take the risk .,tenemos que arriesgarnos .,7,4
these people hate all foreigners .,esta gente odia a todos los extranjeros .,6,8
this book was first published in australia .,este libro fue publicado por primera vez en australia .,8,10
tom ate all the leftovers .,tom se comió todas las sobras .,6,7
you could hurt yourself .,podrías hacerte daño .,5,4
some people don t think so .,algunas personas no piensan así .,7,6
"finally , i have my own car .",finalmente tengo mi propio coche .,8,6
"that applies to tom , too .",eso también va por tom .,7,6
how do you feel ?,¿ cómo se sienten ?,5,5
i saw tom kissing mary .,vi a tom besar a mary .,6,7
can you teach me french ?,¿ puedes enseñarme francés ?,6,5
why don t you like the way you speak ?,¿ por qué no le gusta a usted su forma de hablar ?,10,13
this is simple .,es simple .,4,3
was it a dream ?,¿ era un sueño ?,5,5
i ll be free tonight .,estaré libre esta noche .,6,5
let s rest .,descansemos .,4,2
let s not go into details .,no nos vayamos a los detalles .,7,7
tom locked his keys in his car .,tom dejó sus llaves dentro del auto .,8,8
tom promised not to smoke anymore .,tom prometió no fumar más .,7,6
tom hid some papers behind his back .,tom escondió algunos papeles detrás de su espalda .,8,9
i study many languages .,estoy aprendiendo muchos idiomas .,5,5
we love trees .,nos gustan los árboles .,4,5
it is no use trying to convince him of that .,es inútil intentar convencerle de eso .,11,7
this isn t for you .,esto no es para ti .,6,6
open your book to page nine .,abra su libro en la página nueve .,7,8
i m deeply offended by this .,estoy profundamente ofendido por esto .,7,6
the wind is blowing from the east .,el viento sopla del este .,8,6
these questions are too difficult for me to answer .,estas preguntas son demasiado difíciles para que las conteste yo .,10,11
they re escaping .,ellas están escapando .,4,4
tom has convinced me .,tom me convenció .,5,4
the parking lot in front of the bank was completely full .,el estacionamiento en frente al banco estaba completamente lleno .,12,10
tom had a lot of problems at the school .,tom tuvo muchos problemas en la escuela .,10,8
we got a hostile reception from the villagers .,recibimos una ingrata acogida de los lugareños .,9,8
i ran into an old friend .,me topé con un viejo amigo .,7,7
i just want to find out what happened .,solo quiero descubrir qué ha pasado .,9,7
"no thank you , i m full .","no , gracias , estoy lleno .",8,7
you can leave whenever you like .,podéis iros cuando queráis .,7,5
she found a ball in the garden .,encontró una pelota en el jardín .,8,7
i am not deaf .,no soy sordo .,5,4
he died of gastric cancer .,él murió de cáncer de estómago .,6,7
group the words according to meaning .,agrupa las palabras según su significado .,7,7
do you have your passport ?,¿ tienes tu pasaporte ?,6,5
i wish you weren t always so busy .,ojalá no estuvierais siempre tan ocupadas .,9,7
are you okay ?,¿ te encuentras bien ?,4,5
"after their quarrel , she called it quits .","tras la discusión , ella le dejó .",9,8
the can is empty .,la lata está vacía .,5,5
i m sure you ll be very comfortable there .,estoy segura de que estarás muy cómoda allá .,10,9
many students are looking for part time jobs .,muchos estudiantes buscan trabajos a tiempo parcial .,9,8
i saw tom on monday .,tom y yo nos vimos el lunes .,6,8
i don t know all of my students names .,no sé el nombre de todos mis estudiantes .,10,9
"if you re hungry , then eat .","si tiene hambre , pues coma .",8,7
tom can t stand vegetarians .,tom no soporta a los vegetarianos .,6,7
tom couldn t take his eyes off of mary .,tom no pudo apartar la mirada de mary .,10,9
tom is very accident prone .,tom es muy propenso a los accidentes .,6,8
don t blame the mistake on her .,no culpes a ella por el error .,8,8
i ll kill him .,lo mataré .,5,3
i have mosquito bites all over my arm .,tengo picaduras de mosquitos en todo el brazo .,9,9
tom paid the cashier .,tom le pagó al cajero .,5,6
it s very easy to learn how to swim .,es muy fácil aprender a nadar .,10,7
tom sure can play tennis .,claro que tom sabe jugar al tenis .,6,8
what s your impression of the united states ?,¿ qué opinas de estados unidos de américa ?,9,9
tom had white shoes on .,tom llevaba zapatos blancos .,6,5
tom saw mary waiting in front of the warehouse .,tom vio a mary esperando en frente del almacén .,10,10
you should ask your parents for permission .,deberíais pedirles permiso a vuestros padres .,8,7
he is much older than he looks .,él es mucho más viejo de lo que parece .,8,10
"what we need now is action , not discussion .","lo que necesitamos ahora es actuar , no discutir .",10,10
the police aren t after us anymore .,la policía ya no va tras nosotros .,8,8
it s a curse .,es una maldición .,5,4
do you believe in ghosts ?,¿ cree usted en los fantasmas ?,6,7
i will do anything for you .,haré todo por usted .,7,5
that s weird .,eso es extraño .,4,4
we lead a very ordinary life .,llevamos una vida muy normal .,7,6
it appears to me that you put on my hat by mistake .,me parece que te has puesto mi sombrero por error .,13,11
it wasn t any bigger than a football .,no era más grande que un balón de fútbol .,9,10
i had to walk there because my car broke down .,tuve que ir allí andando porque mi coche se estropeó .,11,11
i can see some people walking across the street .,veo algunas personas caminando por la calle .,10,8
you re something else .,menudo bicho estás hecho .,5,5
tom attended the wedding .,tom asistió a la boda .,5,6
we know you .,os conocemos .,4,3
you can tell me anything .,puedes contarme cualquier cosa .,6,5
unlock it .,abre el candado .,3,4
our army broke through the enemy defenses .,nuestras tropas consiguieron traspasar las defensas del enemigo .,8,9
i asked my mother to wake me up at four .,le pedí a mi madre que me despierte a las cuatro .,11,12
she pleaded with him to stay a little bit longer .,ella le rogó que se quedase un poquito más .,11,10
stop repeating everything i say .,dejar de repetir todo lo que diga .,6,8
i hope it won t rain this afternoon .,espero que esta tarde no llueva .,9,7
people from all around the world attended to his funeral .,personas de todo el mundo asistieron a su funeral .,11,10
i ll work that into my tight schedule .,le haré un hueco en mi apretado horario .,9,9
tom hid the gun in the cookie jar on top of the refrigerator .,tom ocultó el arma en la jarra de galletas encima del refrigerador .,14,13
he retires next spring .,él se jubila la próxima primavera .,5,7
we saw them leave .,los vimos partir .,5,4
i didn t even know that .,yo ni sabía .,7,4
he doesn t need to get up so early .,él no tiene que levantarse tan temprano .,10,8
it s getting dark . you d better go home .,está oscureciendo . es mejor que te vayas a casa .,11,11
i don t know what else we can do .,no sé que más podemos hacer .,10,7
tom is a twin .,tom es gemelo .,5,4
i ll go with you as far as the bridge .,te acompañaré máximo hasta el puente .,11,7
when did you go home ?,¿ cuándo se fueron a casa ?,6,7
the ship went up in flames .,el barco estalló en llamas .,7,6
do you sell pre owned computers ?,¿ vende ordenadores de segunda mano ?,7,7
the refugees felt safe in their new country .,los refugiados se sintieron seguros en su nuevo país .,9,10
this word has two meanings .,esta palabra tiene dos significados .,6,6
tom knew that mary was busy .,tom sabía que mary estaba ocupada .,7,7
tom tends to lose things .,tom tiende a perder las cosas .,6,7
i ll never leave you alone again .,no volveré a dejaros solas .,8,6
do you have a reservation ?,¿ tienen una reserva ?,6,5
where can i make a phone call ?,¿ dónde puedo telefonear ?,8,5
i work here now .,ahora trabajo aquí .,5,4
i haven t made up my mind yet .,aún no me he decidido .,9,6
have you seen my wife ?,¿ viste a mi mujer ?,6,6
will you tell me the truth ?,¿ me dirá la verdad ?,7,6
i couldn t believe what was happening .,no podía creer lo que estaba pasando .,8,8
everybody knows .,todos lo saben .,3,4
correct me if i m wrong .,corrígeme si me equivoco .,7,5
that box is too small to hold all these things .,esa caja es demasiado chica para contener todas estas cosas .,11,11
do you work on sundays ?,¿ trabajas los domingos ?,6,5
i can t explain it either .,tampoco puedo explicarlo .,7,4
that s unimportant .,no es importante .,4,4
i can t eat raw eggs . they have to be cooked .,"no puedo comer huevos crudos , tienen que estar cocinados .",13,11
we have something in common .,tenemos algo en común .,6,5
how old is this tv ?,¿ cuántos años tiene este televisor ?,6,7
i bought tom a hat .,le compré un sombrero a tomás .,6,7
i will see to it that you meet her at the party .,me encargaré de que la conozcas en la fiesta .,13,10
he loves taking trips .,él adora viajar .,5,4
how would you feel if your wife left you ?,¿ cómo te sentirías si tu mujer te abandonase ?,10,10
there is no smoke without fire .,no hay humo sin fuego .,7,6
it s your turn to sing .,te toca cantar .,7,4
some people find reading relaxing .,algunas personas encuentran relajante la lectura .,6,7
i think that tom will like it .,creo que a tom le va a gustar .,8,9
he sleeps during the day and works at night .,él duerme durante el día y trabaja durante la noche .,10,11
old people wake up early .,los ancianos se levantan pronto .,6,6
he s uninsured .,él no está asegurado .,4,5
i ve lost my appetite .,se me fueron las ganas de comer .,6,8
tom doesn t know how to play the piano .,tom no sabe tocar el piano .,10,7
"if you lie down with dogs , you ll get up with fleas .","el que con perros se acuesta , con pulgas se despierta .",14,12
we ve got to take care of it .,tenemos que ocuparnos de eso .,9,6
"to tell the truth , i have no money with me .","a decir verdad , no he traído dinero .",12,9
when s dinner served ?,¿ a qué hora es la comida ?,5,8
tom didn t say how he was planning to get there .,tom no dijo cómo planeaba llegar allí .,12,8
it s been snowing since this morning .,ha estado nevando desde la mañana .,8,7
i need to know what i ve missed .,necesito saber de qué me perdí .,9,7
why aren t the cars moving ?,¿ por qué no se mueven los coches ?,7,9
tom crossed something off his list .,tom tachó algo de su lista .,7,7
tom could understand how mary was feeling .,tom podía entender cómo se sentía mary .,8,8
you shouldn t smoke .,no deberías fumar .,5,4
he complained about the noise .,él se quejó del ruido .,6,6
tom needs to make a move .,tom necesita dar un movimiento .,7,6
tom dried himself with the bath towel .,tom se secó con la toalla de baño .,8,9
i m so tired .,estoy muy cansado .,5,4
i m glad this is all over .,estoy feliz de que todo ello terminara .,8,8
only those who dare to dream change the world .,solo quien tiene el coraje de soñar cambia el mundo .,10,11
i thought that tom was rich .,pensé que tom era rico .,7,6
they looked intently .,ellos miraron fijamente .,4,4
he threw the ball against the wall .,él arrojó la pelota contra la pared .,8,8
nobody answered .,nadie respondió .,3,3
give her a doll .,dale una muñeca .,5,4
he went to london two years ago .,fue a londres hace dos años .,8,7
you re like family .,es como de la familia .,5,6
i must finish this work first .,primero debo terminar este trabajo .,7,6
why don t you like girls ?,¿ por qué no le gustan a ustedes las chicas ?,7,11
you may as well tell me the truth .,puedes también decirme la verdad .,9,6
i m sorry you feel that way .,lamento que te sientas así .,8,6
i want my lawyer .,quiero a mi abogado .,5,5
i loved her .,yo la amaba .,4,4
there was a general drop in prices .,hubo una baja en todos los precios .,8,8
i need your assistance .,necesito tu ayuda .,5,4
tom bent down to pick up something off the floor .,tom se agachó para recoger algo del suelo .,11,9
she invited me to her home .,ella me invitó a su casa .,7,7
i don t want to drink this .,no quiero beber esto .,8,5
they are scheduled to leave for new york on sunday .,ellas están programadas para irse a nueva york el domingo .,11,11
i don t have any more .,no tengo ninguna más .,7,5
how about we meet tomorrow ?,¿ qué te parece si quedamos mañana ?,6,8
she boiled the eggs .,ella coció los huevos .,5,5
"atoms are composed of protons , neutrons , and electrons .","los átomos están compuestos de protones , neutrones y electrones .",11,11
what year were you born ?,¿ en qué año naciste ?,6,6
i think that tom has made a good decision .,creo que tom ha tomado una buena decisión .,10,9
please don t feed the animals .,"no alimente a los animales , por favor .",7,9
everybody agrees with you .,todo el mundo está de acuerdo con vosotras .,5,9
tom is the best employee we ve ever had .,tom es el mejor empleado que jamás hayamos tenido .,10,10
tom threatened to kill mary .,tom amenazó con matar a mary .,6,7
tom kissed mary on the forehead .,tom besó a mary en la frente .,7,8
may i have a program ?,¿ tendría un programa para mí ?,6,7
he crushed the stone completely .,machacó la piedra completamente .,6,5
i don t have a single book to read .,no tengo ningún libro que leer .,10,7
i thought you didn t to know how to do that .,creí que no sabías hacerlo .,12,6
where does this street lead to ?,¿ a dónde lleva esta calle ?,7,7
he was sure that he would make a new discovery some day .,él estaba seguro de que algún día haría un nuevo descubrimiento .,13,12
tom didn t arrive until about 2 30 .,tom no llegó hasta más o menos las 2 30 .,9,11
tom thinks there s hope .,tom cree que hay esperanza .,6,6
come home at six .,ven a casa a las seis .,5,7
i want to be someone you can turn to .,quiero ser alguien a quien puedes acudir .,10,8
try some caviar .,prueba un poco del caviar .,4,6
you must get rid of that bad habit .,tú debes deshacerte de ese mal hábito .,9,8
i have a terrible pain .,tengo unos dolores terribles .,6,5
i haven t eaten yet .,todavía no he comido .,6,5
this sentence is not in french .,esta oración no está en francés .,7,7
tom was only one of mary s many stepchildren .,tom era solo uno de los tantos hijastros de maría .,10,11
tom signed the contract without reading it .,tom firmó el contrato sin leerlo .,8,7
he played the piano and she sang .,él tocaba el piano y ella cantaba .,8,8
tom did a lot of laundry today .,tom lavó mucha ropa hoy .,8,6
i m ready for anything .,estoy preparado para todo .,6,5
his bark is worse than his bite .,"perro ladrador , poco mordedor .",8,6
it is threatening to rain .,amenaza con llover .,6,4
she was out when i called .,"cuando la llamé por teléfono , no estaba .",7,9
tom is too busy now to talk to you .,tom está muy ocupado ahora para hablar con vos .,10,10
"she smiled , waving her hand .","ella sonrió , agitando su mano .",7,7
who s your favorite disney character ?,¿ cuál es vuestro personaje de disney preferido ?,7,9
teenagers always seem to be hungry .,los adolescentes parece que siempre tienen hambre .,7,8
are you embarrassed ?,¿ tienes vergüenza ?,4,4
they live apart .,ellos viven separados .,4,4
i thought that you wanted to see me .,pensé que querías verme .,9,5
i ll ask later .,preguntaré más tarde .,5,4
he has nothing against it .,no tiene nada en contra de eso .,6,8
it s the same for everyone .,es lo mismo para todos .,7,6
i didn t mean to make so much noise .,no pretendía hacer tanto ruido .,10,6
i m going to tom s tonight .,voy a ir a lo de tomás esta noche .,8,10
i m staying over at my friend s place .,me voy a quedar en casa de mi amiga .,10,10
i have never done this before .,nunca había hecho esto .,7,5
she shot him with a machine gun .,le disparó con una ametralladora .,8,6
i ll never let that happen again .,nunca permitiré que eso vuelva a ocurrir .,8,8
tom has done a magnificent job .,tom ha hecho un excelente trabajo .,7,7
he s strong .,él es fuerte .,4,4
i see a girl standing under that tree .,veo a una chica de pie bajo aquel árbol .,9,10
my friend wants to do business with south american firms .,mi amigo quiere negociar con casas sudamericanas .,11,8
i will be back at half past six .,vuelvo a las seis y media .,9,7
"over here , ma am .","por aquí , señora .",6,5
tom s last name was jackson .,el apellido de tom era jackson .,7,7
he is very handsome .,él es muy guapo .,5,5
"for tom , getting fired was an unexpected shock .","para tom , ser despedido fue un shock inesperado .",10,10
we use a lot of water .,usamos mucha agua .,7,4
he was making his way through the crowd .,se abría paso entre la multitud .,9,7
tom doesn t like irish coffee .,a tom no le gusta el café irlandés .,7,9
she didn t read the book .,ella no leyó el libro .,7,6
please wait here for a while .,"por favor , espere aquí un momento .",7,8
"just because he s rich , doesn t mean he s happy .",solo porque él sea rico no significa que sea feliz .,13,11
she isn t married .,ella no está casada .,5,5
it snowed all last night .,nevó durante toda la pasada noche .,6,7
tom asked mary to deliver a message to john .,tom le pidió a mary entregarle un mensaje a john .,10,11
do you get along well with your new classmates ?,¿ te llevas bien con tus nuevos compañeros de clase ?,10,11
it s almost ten o clock .,son casi las diez en punto .,7,7
it isn t going to snow .,no va a nevar .,7,5
is the door closed ?,¿ la puerta está cerrada ?,5,6
his sudden visit took me by surprise .,su visita repentina me tomó por sorpresa .,8,8
i drank the coffee .,me tomé el café .,5,5
i like both .,me gustan los dos .,4,5
why don t we go dancing ?,¿ por qué no nos vamos a bailar ?,7,9
i was eating when you called me .,estaba comiendo cuando me llamaste .,8,6
what time should i leave the hotel ?,¿ a qué hora debo dejar el hotel ?,8,9
all you have to do is sweep the floor .,todo lo que tienes que hacer es barrer el piso .,10,11
you can come whenever it s convenient for you .,puedes venir siempre que te venga bien .,10,8
this article has to go through the censor s office .,hay que enviar este artículo a la censura .,11,9
i was accosted by a complete stranger at the bus stop .,me abordó un completo desconocido en la parada de autobús .,12,11
when was your last hearing test ?,¿ cuándo fue tu última prueba de audición ?,7,9
it doesn t seem like it s autumn .,no parece que estemos en otoño .,9,7
he believes in the existence of ghosts .,él cree en la existencia de fantasmas .,8,8
they re doing fine .,les va bien .,5,4
i try to keep a low profile now .,actualmente procuro no destacar mucho .,9,6
the train arrived ten minutes behind time .,el tren llegó con diez minutos de retraso .,8,9
i hope to see you .,espero verlo .,6,3
who helped tom ?,¿ quién ayudó a tom ?,4,6
tom understands french .,tom entiende francés .,4,4
why did you call me at this unearthly hour ?,¿ para qué me llamas a esta hora imprudente ?,10,10
i have seen her three times .,la vi tres veces .,7,5
i m waiting for my opportunity .,estoy esperando mi oportunidad .,7,5
a burnt child fears the fire .,un niño quemado le teme al fuego .,7,8
we have no choice but to go .,no tenemos más remedio que ir .,8,7
"therefore , it is necessary to reduce the cost .","por lo tanto , es necesario reducir el coste .",10,10
do you have any good news ?,¿ tienes alguna buena noticia ?,7,6
the sailors were at the mercy of the weather .,los marineros estaban a la merced del tiempo .,10,9
i d like to sit by the window .,me gustaría sentarme en la ventana .,9,7
pay your fare here .,paga tu billete aquí .,5,5
i look forward to meeting you .,estoy deseando conocerle .,7,4
i m fair .,soy justo .,4,3
how are you getting along these days ?,¿ qué tal se llevan estos últimos días ?,8,9
do you know where he lives ?,¿ sabes dónde vive ?,7,5
how many blankets are there on the bed ?,¿ cuántas cobijas tiene la cama ?,9,7
tom opened the screen door .,tom abrió la puerta mosquitera .,6,6
i got a job .,encontré un trabajo .,5,4
i overslept .,me quedé dormido .,3,4
ten people were packed into the small room .,había diez personas hacinadas en la pequeña habitación .,9,9
go .,váyase .,2,2
she graduated with honors .,ella se graduó con honores .,5,6
tom says mary wasn t interested .,tom dice que maría no estaba interesada .,7,8
i think that it fits you well .,creo que te va muy bien .,8,7
she was hit by a car .,un auto la chocó .,7,5
tom wants to meet me .,tomás quiere verme .,6,4
do you want to watch this movie again ?,¿ querés ver esta película otra vez ?,9,8
